A	whereas there is no provision in Regulation (EC) No 401/2009 granting the European Parliament the formal right to hear the candidate selected to be appointed Executive Director of the European Environment Agency;
1	Requests the Commission to submit as soon as possible, on the basis of Article 192(1) of the Treaty on the Functioning of the European Union, a proposal for an act amending Regulation (EC) No 401/2009 as regards the procedure for appointment of the Executive Director of the European Environment Agency, following the detailed recommendations set out in the Annex hereto;
2	Confirms that the recommendations respect fundamental rights and the principle of subsidiarity;
3	Considers that the requested proposal does not have financial implications;
4	Instructs its President to forward this resolution and the accompanying detailed recommendations to the Commission and the Council, and to the European Environment Agency.
