Code,Title,Link,CommitteeAbr,CommitteeFull,Rapporteur PartyAbr,Rapporteur PartyFull,Rapporteur,Commission DG,Commissioner,Date Committee Draft Report,Date Committee report tabled for plenaryDate Text adopted by Parliament,Code Text adopted by Parliament,Link Text adopted by Parliament,Link Summary
2010/2087(INI),EU Strategy for the Black Sea,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2087(INI)&l=e,AFET,Foreign Affairs,NA,EPP - European People's Party (Christian Democrats),UNGUREANU Traian,External Relations,ASHTON  Catherine,27/10/2010,17/12/2010,20/01/2011,T7-0025/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-25,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1138525&t=d&l=en
2010/2088(INI),GDP and beyond - Measuring progress in a changing world,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2088(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",NA,Europe of Freedom and Democracy,ROSBACH Anna,Environment,POTOČNIK  Janez,23/02/2011,27/04/2011,08/06/2011,T7-0264/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-264,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1155786&t=d&l=en
2010/2070(INI),Health care systems in Sub-Saharan Africa and Global Health,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2070(INI)&l=e,DEVE,Development,NA,Progressive Alliance of Socialists and Democrats ,DE KEYSER Véronique,Development,PIEBALGS  Andris,08/06/2010,06/09/2010,07/10/2010,T7-0355/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-355,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1125812&t=d&l=en
2010/2072(INI),Funding and functioning of the European Globalisation Adjustment Fund,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2072(INI)&l=e,BUDG,Budgets,NA,European United Left - Nordic Green Left,PORTAS Miguel,Budget,LEWANDOWSKI  Janusz,15/06/2010,26/07/2010,07/09/2010,T7-0303/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-303,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1120858&t=d&l=en
2010/2071(INI),Civilian-military cooperation and the development of civilian-military capabilities,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2071(INI)&l=e,AFET,Foreign Affairs,NA,EPP - European People's Party (Christian Democrats),EHLER Christian,External Relations,ASHTON  Catherine,08/09/2010,05/11/2010,23/11/2010,T7-0419/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-419,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1131942&t=d&l=en
2010/2075(INI),"Regulation of trading in financial instruments - ""dark pools"" etc.",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2075(INI)&l=e,ECON,Economic and Monetary Affairs,NA,European Conservatives and Reformists,SWINBURNE Kay,Internal Market and Services,BARNIER  Michel,19/07/2010,16/11/2010,14/12/2010,T7-0466/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-466,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1135163&t=d&l=en
2010/2074(INI),Basel II and revision of the Capital Requirements Directive (CRD 4),http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2074(INI)&l=e,ECON,Economic and Monetary Affairs,NA,EPP - European People's Party (Christian Democrats),KARAS Othmar,Internal Market and Services,BARNIER  Michel,14/05/2010,22/09/2010,07/10/2010,T7-0354/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-354,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1125797&t=d&l=en
2010/2055(INI),Interconnection of business registers,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2055(INI)&l=e,JURI,Legal Affairs,NA,EPP - European People's Party (Christian Democrats),LECHNER Kurt,Internal Market and Services,BARNIER  Michel,11/05/2010,29/06/2010,07/09/2010,T7-0298/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-298,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1120836&t=d&l=en
2010/2054(INI),Role of women in agriculture and rural areas,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2054(INI)&l=e,AGRI,Agriculture and Rural Development,NA,EPP - European People's Party (Christian Democrats),JEGGLE Elisabeth,Agriculture and Rural Development,CIOLOŞ  Dacian,08/10/2010,31/01/2011,05/04/2011,T7-0122/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-122,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1148504&t=d&l=en
2010/2050(INI),EU's approach towards Iran,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2050(INI)&l=e,AFET,Foreign Affairs,NA,Europe of Freedom and Democracy,BELDER Bastiaan,External Relations,ASHTON  Catherine,04/10/2010,11/02/2011,10/03/2011,T7-0096/2011,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2011-96,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1145428&t=d&l=en
2010/2051(INI),Future of European standardisation,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2051(INI)&l=e,IMCO,Internal Market and Consumer Protection,NA,European Conservatives and Reformists,KOŽUŠNÍK Edvard,Enterprise and Industry,TAJANI  Antonio,09/08/2010,07/10/2010,21/10/2010,T7-0384/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-384,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1127966&t=d&l=en
2010/2052(INI),Impact of advertising on consumer behaviour,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2052(INI)&l=e,IMCO,Internal Market and Consumer Protection,NA,EPP - European People's Party (Christian Democrats),JUVIN Philippe,Internal Market and Services,DALLI  John,16/08/2010,23/11/2010,15/12/2010,T7-0484/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-484,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1135523&t=d&l=en
2010/2038(INI),Long-term sustainability of public finances for a recovering economy,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2038(INI)&l=e,ECON,Economic and Monetary Affairs,NA,Progressive Alliance of Socialists and Democrats ,HOANG NGOC Liem,Economic and Financial Affairs,REHN  Olli,12/02/2010,07/05/2010,20/05/2010,T7-0190/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-190,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1112020&t=d&l=en
2010/2040(INI),Integrated Maritime Policy (IMP) - Evaluation of progress made and new challenges,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2040(INI)&l=e,TRAN,Transport and Tourism,NA,Alliance of Liberals and Democrats for Europe,MEISSNER Gesine,Maritime Affairs and Fisheries,DAMANAKI  Maria,03/06/2010,05/10/2010,21/10/2010,T7-0386/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-386,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1127972&t=d&l=en
2010/2037(INI),Progress towards the achievement of the Millenium Development Goals: mid-term review in preparation of the UN high-level meeting in September 2010,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2010/2037(INI)&l=e,DEVE,Development,NA,Progressive Alliance of Socialists and Democrats ,CASHMAN Michael,Development,PIEBALGS  Andris,25/03/2010,19/05/2010,15/06/2010,T7-0210/2010,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P7-TA-2010-210,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1114667&t=d&l=en
2006/2236(INI),The EU's aid for trade,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2236(INI)&l=e,INTA,International Trade,PSE,Socialist Group in the European Parliament,MARTIN David,Trade,MANDELSON  Peter,30/01/2007,29/03/2007,23/05/2007,T6-0203/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-203,http://www.europarl.europa.eu//oeil/popups/summary.do?id=997499&t=d&l=en
2006/2237(INI),EU/Russia relations: economic and trade relations ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2237(INI)&l=e,INTA,International Trade,PPE-DE,European People's Party (Christian Democrats) and European Democrats,QUISTHOUDT-ROWOHL Godelieve,Trade,MANDELSON  Peter,21/03/2007,24/05/2007,19/06/2007,T6-0262/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-262,http://www.europarl.europa.eu//oeil/popups/summary.do?id=1000480&t=d&l=en
2006/2231(INI),"Promoting healthy diets and physical activity: a European dimension for the prevention of overweight, obesity and chronic diseases",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2231(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",ALDE,Alliance of Liberals and Democrats for Europe,RIES Frédérique,Health and Consumers,KYPRIANOU  Markos,19/09/2006,06/12/2006,01/02/2007,T6-0019/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-19,http://www.europarl.europa.eu//oeil/popups/summary.do?id=983817&t=d&l=en
2006/2232(INI),"Combating HIV/AIDS within the European Union and in the neighbouring countries, 2006-2009 ",http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2232(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",ALDE,Alliance of Liberals and Democrats for Europe,ANDREJEVS Georgs,Health and Consumers,KYPRIANOU  Markos,19/12/2006,29/03/2007,24/04/2007,T6-0137/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-137,http://www.europarl.europa.eu//oeil/popups/summary.do?id=994502&t=d&l=en
2006/2233(INI),Halting the loss of biodiversity by 2010,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2233(INI)&l=e,ENVI,"Environment, Public Health and Food Safety",GUE/NGL,European United Left/Nordic Green Left,ADAMOU Adamos,Environment,DIMAS  Stavros,18/12/2006,28/03/2007,22/05/2007,T6-0195/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-195,http://www.europarl.europa.eu//oeil/popups/summary.do?id=997350&t=d&l=en
2006/2239(INI),2006 annual report on the euro area,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2239(INI)&l=e,ECON,Economic and Monetary Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,GARCÍA-MARGALLO Y MARFIL José Manuel,Economic and Financial Affairs,ALMUNIA  Joaquín,28/09/2006,26/10/2006,14/11/2006,T6-0485/2006,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2006-485,http://www.europarl.europa.eu//oeil/popups/summary.do?id=975118&t=d&l=en
2006/2238(INI),Trans-European Network for Transport: the Court of Auditors' special report No 6/2005 ,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2238(INI)&l=e,CONT,Budgetary Control,ALDE,Alliance of Liberals and Democrats for Europe,STARKEVIČIŪTĖ Margarita,Energy and Transport,BARROT  Jacques,13/11/2006,01/02/2007,14/02/2007,T6-0037/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-37,http://www.europarl.europa.eu//oeil/popups/summary.do?id=985819&t=d&l=en
2006/2234(INI),EU/South Africa relations: strategic partnership,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2234(INI)&l=e,DEVE,Development,GUE/NGL,European United Left/Nordic Green Left,MORGANTINI Luisa,Development,MICHEL  Louis,18/08/2006,04/10/2006,24/10/2006,T6-0430/2006,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2006-430,http://www.europarl.europa.eu//oeil/popups/summary.do?id=972678&t=d&l=en
2006/2240(INI),Promoting decent work for all,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2240(INI)&l=e,EMPL,Employment and Social Affairs,PPE-DE,European People's Party (Christian Democrats) and European Democrats,PANAYOTOPOULOS-CASSIOTOU Marie,"Employment, Social Affairs and Inclusion",ŠPIDLA  Vladimír,13/11/2006,15/03/2007,23/05/2007,T6-0206/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-206,http://www.europarl.europa.eu//oeil/popups/summary.do?id=997518&t=d&l=en
2006/2204(INI),EU/Pacific Islands relations: a strategy for a strengthened partnership,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2204(INI)&l=e,DEVE,Development,PPE-DE,European People's Party (Christian Democrats) and European Democrats,DEVA Nirj,Development,MICHEL  Louis,06/07/2006,09/10/2006,01/02/2007,T6-0022/2007,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2007-22,http://www.europarl.europa.eu//oeil/popups/summary.do?id=983828&t=d&l=en
2006/2208(INI),Towards more and better EU Aid: the 2006 aid effectiveness package,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2208(INI)&l=e,DEVE,Development,PSE,Socialist Group in the European Parliament,HUTCHINSON Alain,Development,MICHEL  Louis,26/06/2006,12/09/2006,28/09/2006,T6-0382/2006,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2006-382,http://www.europarl.europa.eu//oeil/popups/summary.do?id=969720&t=d&l=en
2006/2206(INI),European Central Bank: annual report,http://www.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2006/2206(INI)&l=e,ECON,Economic and Monetary Affairs,PSE,Socialist Group in the European Parliament,BERÈS Pervenche,Economic and Financial Affairs,ALMUNIA  Joaquín,28/08/2006,13/10/2006,26/10/2006,T6-0464/2006,http://www.europarl.europa.eu/sides/getDoc.do?type=TA&language=EN&reference=P6-TA-2006-464,http://www.europarl.europa.eu//oeil/popups/summary.do?id=973425&t=d&l=en
