1	Adopts the decision amending its Decision 94/262/ECSC, EC, Euratom;
2	Instructs its President to publish in the texts adopted the final version of the decision amending its Decision 94/262/ECSC, EC, Euratom as resulting from its votes on 22 April 2008 and 18 June 2008 and to forward it together with this resolution to the Council and the Commission;
3	Instructs its President to ensure the publication in good time of its decision amending Decision 94/262/ECSC, EC, Euratom in the Official Journal of the European Union.
